REPOID,LANG,STARS,REPOURL
1028623001,TypeScript,0.0,https://api.github.com/repos/A-wisnu/Flutter-game
1028879989,HTML,0.0,https://api.github.com/repos/A-wisnu/Lomba_nbpc
1028779917,JavaScript,0.0,https://api.github.com/repos/A-wisnu/N8n
968636173,,0.0,https://api.github.com/repos/A11some/skills-introduction-to-github
1024306801,Python,0.0,https://api.github.com/repos/A1anMc/NavImpactV2
1025267304,,0.0,https://api.github.com/repos/A4ever-ORG/air
1012272471,HTML,0.0,https://api.github.com/repos/AAR-ARQ/Marcelo
997066643,,1.0,https://api.github.com/repos/AAgentII/aagent
1012687593,Java,0.0,https://api.github.com/repos/ABDULLAH-BARI-ASIF/Bunker-locker
1001209062,Python,0.0,https://api.github.com/repos/ABDULRAFEEQ70/7teen
1024026813,Kotlin,0.0,https://api.github.com/repos/ABIN5454/swot
1006519790,TypeScript,0.0,https://api.github.com/repos/ACHOCKALINGAM123/NativeLearningApp
972154288,,0.0,https://api.github.com/repos/ADARSH0309/visualization_plotly
808018111,Python,0.0,https://api.github.com/repos/ADITYA190809/Adiupdate_iris_py
975166611,TypeScript,2.0,https://api.github.com/repos/ADML003/Travelisto
1008464737,Jupyter Notebook,0.0,https://api.github.com/repos/AGADA-BI/Churn-Prediction-App
909064038,Jupyter Notebook,1.0,https://api.github.com/repos/AGADA-BI/Profit-Forecasting-Using-Multiple-Linear-Regression
1013564107,Python,0.0,https://api.github.com/repos/AI-NOMIS/nomisRAG
1018028218,HTML,0.0,https://api.github.com/repos/AIBETS7/myfootballpredictions
1012687062,TypeScript,0.0,https://api.github.com/repos/AICodingMaestro/CarWash-Tielt-Winge
1015290006,HTML,0.0,https://api.github.com/repos/AITOOLSFREE/Tools
1021089751,,0.0,https://api.github.com/repos/AIssistVA/aissistva-lead-scraper
1021054123,,0.0,https://api.github.com/repos/AIssistVA/client-intake-app
1023434278,Python,0.0,https://api.github.com/repos/AIurovo/bugbot-test
996463965,Python,0.0,https://api.github.com/repos/AJ-Davis/veritas_logos
